county_name,county_id,1a,1a1c,1a_2c,1a3c,2a1w,2a1w1c,2a1w2c,2a1w3c,2a,2a1c,2a2c,2a3c
"Orange County, Texas",48361,"$20,444","$43,116","$50,218","$61,921","$34,318","$41,539","$46,731","$51,240","$34,318","$47,469","$55,628","$63,102"
"Palo Pinto County, Texas",48363,"$19,762","$41,952","$49,054","$60,676","$32,726","$40,374","$45,567","$49,996","$32,726","$46,305","$54,463","$61,857"
"Panola County, Texas",48365,"$19,547","$40,855","$47,957","$58,669","$31,923","$39,277","$44,470","$47,988","$31,923","$45,208","$53,366","$59,850"
"Parker County, Texas",48367,"$21,809","$44,883","$51,985","$64,624","$35,322","$43,305","$48,498","$53,944","$35,322","$49,236","$57,394","$65,805"
"Parmer County, Texas",48369,"$19,547","$40,855","$47,957","$58,963","$32,806","$39,277","$44,470","$48,283","$32,806","$45,208","$53,366","$60,144"
"Pecos County, Texas",48371,"$19,721","$40,975","$48,077","$59,217","$32,752","$39,397","$44,590","$48,537","$32,752","$45,328","$53,486","$60,399"
"Polk County, Texas",48373,"$19,708","$40,855","$47,957","$60,275","$31,963","$39,277","$44,470","$49,594","$31,963","$45,208","$53,366","$61,456"
"Potter County, Texas",48375,"$19,855","$42,180","$49,282","$61,225","$33,114","$40,602","$45,795","$50,544","$33,114","$46,533","$54,691","$62,406"
"Presidio County, Texas",48377,"$19,547","$40,855","$47,957","$60,355","$32,806","$39,277","$44,470","$49,675","$32,806","$45,208","$53,366","$61,536"
"Rains County, Texas",48379,"$19,547","$40,855","$47,957","$60,355","$31,923","$39,277","$44,470","$49,675","$31,923","$45,208","$53,366","$61,536"
